text,label
Find sources about the living conditions of german soldiers in ww1.,2
What are important details on how population impacts globlization?,2
Are men ending up getting more types of arthritis and cancer than women are?,0
List political behavior by marisa abrajano,2
Difference between popular and electoral votes in america and which determines the winner of the presidency?,2
Find research on the theory of planned behaviour,0
How would creating term limits for members of congress affect political corruption and abuse of power in america?,2
Give an unbiased political and value overview of both maria cantwell and dr raul garcia,1
What do the political cartoons of the watergate scandal tell us about the political climate at the time?,0
Type of encoding and presentation method experiment psychology,1
Explain why two species of organisms can share a habitat but not a niche.,1
"What are the traits of feminine theme, in rizal letter to young women of malolos",2
Changes of breast during postpartum,1
What are some case studies about biological disasters,0
Why was donald trump kicked out of twitter?,1
What does the word autobiography mean?,0
Political achievement of post-edsa regime,2
Investigating the role of light intentisty and duration on the growth and development of potato plants,0
How often does the agency evaluate programs and service delivery?,2
How do trump and europe view global governance? what are the differences and similarities?,2
What are the origins and foundational principles of the electoral college?,1
How does kingston debate her conscience through the no name women transitioning to shaman,2
Explain the significance of the number 270 in the context of the us presidential election.,1
What's the latest research on quantum computing,1
"Find research that shows the result ""a woman experiencing postpartum depression partly due to appearance-related factors""",1
Give me pros to the united states abolishing the electoral college,2
Was kamala harris president at one time? what did she do during this time?,1
What are the laws of reflection,1
How are the five american men standing by the pool described? (page 39),0
Understanding how diurnal variations in type 3 inflammation affect colorectal cancer,0
What is a good policy for authorization without technology,2
How is air pollution bad,2
Explain how poverty is affecting the philippines up to this day,2
Why does the electoral college exist,1
Does social media has negative effect to the student,2
What is the impact of social media on political awareness among humss student?,2
"What are the similarities and differences between decolonization, chican feminist and dindiigenous paradigms of psychology and mental health?",2
What effect will loam soil have on the plants living in the soil,1
Theories realted to gadget use and interpersonal relationships,0
What is chiral quantum optics?,0
Can two magnetic field be perpendicular to each other,1
How can reflection and refraction in physics be explained in simple terms?,0
"As a researcher, list the characteristics of schizophrenic and bipolar disorders",0
Case study on air pollution,1
What is social stratification in sociology,2
"What does low cd/p, zn/p, and cu/p indicate?",2
Find ideas for science project (species survival – more than just sustainability),1
How many different computational approaches are used for enzyme classification,2
How does cyber bullying affect mental health?,2
"In regards to the united states presidential election, what is the electorial college vote?",1
What are 2 reasons why cells divide rather than continue to grow indefinitely,1
Discuss the techniques used in detection of antigen antibody reactions,2
Which part of the vasa recta is deoxygenated,2
Carbon concentration mechanism in algae,1
"Why can't programs and intervention solve students mental health issues in philippine?
 10 reason",2
How does cyfi in unwind show being empathetic?,2
What is the method for extract methyl mercury from soil and fish,2
Discuss the characteristics of the phantom in the term of his mental and physical aspects,0
Why are mold-covered fruit that fall off trees helpful for soil?,1
What does the lotus plant symbolize in odysseus?,1
About affordable and clean energy in the philippines,1
Who are the two major candidates running for texas governor at the moment?,0
Benefits of old denim recycling,1
Can you gather atlantic anomalies or patterns of warm spreading across the atlantic from 1900 to 2024?,2
Nociceptors role in pain in pancreatic cancer,2
Did scott baugh win his election?,2
What percentage of the total food waste do fruits and vegetable peelings cover in the philippines,2
What is the reason for amf decreasing root ash content in plants?,1
2024 early voting results,1
Role of molybdenum in plants,0
"What is the phylum, class, order, family, genus , species of fasciola hepatica",2
Provide me an rrl about study of having a patience of cebuano in terms of relationship,2
Did israel react to trump's statement on ending the war in gaza before he becomes president?,1
Does plastic cause climate change and raise carbon?,1
"Explain the gestalt contact boundary disturbances of introjection, projection, retroflection, deflection and confluence with examples",1
Psychological impacts of racial trauma and identity formation.,0
True/false: great britain and the us are the only countries that use the electoral college system.,2
Who is the protagonist of anthem,0
Is there mostly black people in kansas city missouri,0
How to know how many amino acids is the full sequence in ncbi for proteins,2
What were major disagreements over what was true during the uk 2024 general election?,0
"In physics 2 grade 12, discuss why studying a gravitational field is important.",2
Has globalisation led to deterioration of local culture and values,1
"Give examples of each form of social stratification (caste systems, class system, estate system, status hierarchy, race and ethnicity)",2
Find research on retinal detachment,1
Ethnography vs phenomenology vs grounded theory in research,2
Does modern social media make people less socially active,1
What are factrs innfluencing arizona 2024 election result,2
What is the most affective way to study human personalities,2
How do you think can you begin to communicate with people from other cultures and avoid conflicts and misunderstandings,1
Do you know what topoi is in writing 150?,0
"Discuss the different ways that jem, scout and atticus treat walter. what does this 
 show about their personalities?",2
Can you give me an outline on a research paper about cancer valley and its involvement/impact on environmental justice,1
What happens when you heat and cool rubber?,0
Direct competitor analysis of solar-powered cold storage in india,2
What is the rate of cooling for moist air,2
Can amoxicillin cause hallucinations,2
What is the cause of air pollution in our environment,1
Look for a company operating in the philippines and have their policies on the environmental and social responsibility policies,2
Analyse the la mer company,2
"What is the defintion of ""stigmatization"" in terms of sociology?",0
Why are mold-covered fruit that fall off trees helpful for soil?,0
Why is disaster considered a wicked problem in the philippines?,1
The effects of packaging solutions in the environmental?,2
Explaination of partial derivatives in the heat transfer,0
How does frequency and energy compare to wavelength on the electromagnetic spectrum,1
Explain the structure and function of major histocompatibility complex molecules (mhc) and antigen presenting cells (apc). simple,1
"What does the article ""sorting and incentive effects of pay for performance: an experimental investigation."" say about fixed pay",0
What does wooing mean in shakespeare?,0
Find key research on water availability,2
Explain light reflection,0
Find some research papers on retinal detachment,0
On average how much does a clinic doctor make in winnipeg?,1
What happens in book 9 of the odyssey?,0
How to find distance from speed and time,1
The impact of sleep duration on academic performance among students,1
What are the social constructions of childhood?,1
Frameworks and theories on unions increasing job satisfaction,0
Effects of having a broken family to the academic performance of grade 10 students,2
What are two negatives and positives of the globalization of culture?,0
What do you mean by consumer citizens,2
What are the key terms and definitions related to paper production using vegetable waste?,0
Does the death penalty prevent additional crime?,1
Northamerica perspective on women's participation in traditionally male-dominated sports,2
What effects does urbanization have on water quality?,2
What are some possible questions for social work and womens leadreship?,1
What are the positives of environmental quality in vienna (austria),2
Optical fiber & tir : prepare models to demonstrate total internal reflection and propagation of light,1
Factors affecting carbon flux in metabolism,1
What is the difference between thermal & heat energy,2
"What are the different lipoproteins, their main function, where they are produced and their atherogenicity?",0
List out instances from the film inside out which shows various key concepts of social and emotional learning,2
How does gender inequality cut through the caste class and other categories,1
Explain the action of heat by albumin in protein denaturation,2
Why should one be interested in a quality position?,2
Who was roentgen and what was his contribution to radiography?,1
"How does socio-economic class impact fans, athletes, coaches, organizations, and management?",1
What makes a good manager,1
Analyze google's employees benefits,2
Harmful effects of radio waves to environment,2
Does (q/mass * specific heat) equal change in temperature,2
Do you know quantum transduction,0
How much money does the l.a. port make?,1
How does the diameter of an organ pipe determine frequency admittance?,1
What are the most common types of murmurs?,0
Why are ethical leadership and consensus-building good together?,2
What microorganism can increase risk for urothelial cancer,0
Can tamoxifen cause blood clots,1
What decreases an object kinetic energy,2
How can corticosteroids cause adrenal insufficiency?,1
"Based on school modules, elaborate the four stratification systems: class system, caste system, estate system, and slavery",2
List of seminar that are good for employees,1
What are plants,1
What are the common drugs that cause angioedema?,1
Cite theories about exploring the impact of formal education and practical skills on food service management success,1
"What studies have been conducted on fiber sem imaging, and how are they described?",1
Which enzyme in cancer cells cleaves gpc3?,0
How is asexual reproduction different from sexual reproduction?,0
What relationship between carotid tandem lesion and stroke?,0
How can the law of reflection be used to show how image forms on plane mirror?,1
Fda approved drugs targetting anoikis resistance in cancer,2
Give examples of each form of social stratification in the philippines,2
Name something that can cause increased airway resistance,1
Which market entry strategy does apple use globally,1
Expand on critical angle and total internal reflection,0
What is the current situation and problem with supply chain logistics in the philippines,2
Why do regulatory t cells fail in hashimoto's?,1
Short introduction about conduction mode of heat transfer,2
Do the employees of shine.com have holiday on saturday?,1
What is the relationship between vitamin d and breast cancer?,1
Studies related to fiber sem imaging with descriptions,2
Nature vs nurture in psychology,0
Books/notes for spectral theorem in quantum mechanics,2
Can the standard deviation formula (sample) be used for the germination rates of seeds?,2
Find a different procedure for the chest tube insertion that a paramedic is capable of doing,2
"How does tmc benefit from processing travel arrangements of
 clients?",2
What is communication and its importance in business?,2
Research wolff’s law. how does the formation of torus mandibularis relate to this theory?,1
Characteristics of a good leader,2
Strategies for sustainability towardsd eco city dasmarinas,2
How does the admiral's past represent irony in the novel unwind by neal shusterman?,1
When did allbirds start expanding to apparel and geographical locations,1
What is myosin,0
What do you call a supply company that delivers the product to a small grocery store,1
What is the formula for angle tuning second harmonic generation positive crystal?,2
How does the maruti suzuki company work?,1
Is littera a good company to work for,2
Analyze the volkswagen group esg policy/strategy from the annual report 2023! how do you assess the company's governance performance?,1
Why is it important that companies provide motivational videos to employees?,2
What was the basic pay scale of level 10 central government employees in 6th and 7th pay commission,2
Explain the importance of sociological imagination and sociological perspective as frame of mind,1
Give me list of research paper on liquid biopsy used in lung cancer,1
What are good questions when conducting an interview for an ssg president?,2
"Find sources that explains trajectory, launch angle, initial velocity, and gravity’s role in projectile motion",2
"Explain the relationship between pay, reward, and promotions are.",1
Association of gut microbiota with the stages of gastric cancer,0
Common themes in industrial-organizational psychology and organizational behavior management,2
Is university of colorado boulder a good school for business,2
"When a copper pipe is polished and shiny, does that mean that it’s transferring heat?",1
Discuss two sampling methods used in the lab to isolate microorganisms,2
What is the relationship between distance between the objects and electric force,1
Which type of diabetes is associated with the presence of ketones?,1
Wavelength range (meter) of yellow?,0
How to develop a novel primate-like tree shrew model for viral oncology research?,2
What happens to the kinetic energy in molecules when there is a change in temperature?,0
What specific benefits does an individual branch gain from applying the 17 sdgs in the company?,1
"Create a concept map associated with the terms: agrarian societies, industrial societies, and virtual societies.",2
Related studies for guppy fish (poecilia reticulata),2
What do you know about the brain?,2
If you are a manager on the company what particular theory you used to motivate your employees,2
What should the angle between force and displacement be to get the: (i) minimum work (ii) maximum work?,1
How much does ecaas charge for their audits?,1
"Group theory, structure and process in addiction counseling",2
Gender-based disparities in men with breast cancer,0
List recent review papers on breast cancer,2
"Provide 10 related research literature (rrl) on recycling dry leaves into paper, organized by each author.",1
Give the different skills a manager can use to raise the company sales from 350$ to 600$,2
Explain the mechanism of chronic subdural hemorrhage,0
Normal blood glucose levels for a patient with type 2 diabetes,1
Congenital diseases that can cause bilateral lower extremity edema,1
How johnson & johnson uses the transnational strategy japan,2
"Provide 3 examples each of heat transfer processes (conduction, convection, radiation) that are present in the household",2
Social justice initiatives led by young people and it's impact to the society,1
Why should i want a shared vision among my employees,1
Examine how effective the socio-cultural method is at understanding risk,2
How is internal reflection used in optical fibres?,0
What are the physiological effects that scapegoating can have on a individual,2
Microsoft organisational behavior problems,2
Aim of mango peelings biochar,0
"How do rainfall patterns correlate with flooding events in the philippines, particularly during the wet season?",0
What is a key factor that has significantly influenced the history of medicine?,0
5 common dance injuries and what are the preventions,1
What is the formula for instantaneous velocity?,0
Does alpha decay cause transmutation? explain why it does or does not.,0
What does post stroke neuropathology mean?,0
Current treatment for antibiotic resistance,0
"""historically, people with type ab were called universal recipients."" what is the rationale for the term?",1
